line_file,offset,trials_training.thisRepN,trials_training.thisTrialN,trials_training.thisN,trials_training.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,polygon_txt.started,polygon_txt.stopped,text.started,text.stopped,resp_txt.keys,resp_txt.rt,resp_txt.started,resp_txt.stopped,polygon.started,polygon.stopped,mask.started,mask.stopped,image.started,image.stopped,resp.keys,resp.rt,resp.started,resp.stopped,polygon_txt_after_training.started,polygon_txt_after_training.stopped,text_after_train.started,text_after_train.stopped,key_resp_after_training.keys,key_resp_after_training.rt,key_resp_after_training.started,key_resp_after_training.stopped,polygon_end.started,polygon_end.stopped,text_end.started,text_end.stopped,participant,session,date,expName,psychopyVersion,frameRate,
images/-9.png,-9,,,,,0,40,40,65,,,,,,,,,90.13882080000258,None,90.32807940000203,90.62612560000343,90.62612560000343,None,e,0.2387626999989152,90.82603790000212,None,,,,,,,,,,,,,x,001,2020_Dec_08_1625,lm,2020.2.8,59.96293091568751,
images/0.png,0,,,,,0,41,41,73,,,,,,,,,91.10439450000194,None,91.2956137000001,91.59378170000127,91.59378170000127,None,e,1.7189689999977418,91.79387580000184,None,,,,,,,,,,,,,x,001,2020_Dec_08_1625,lm,2020.2.8,59.96293091568751,
images/-1.png,-1,,,,,0,42,42,83,,,,,,,,,93.54502100000173,None,93.74821370000063,94.04590680000183,94.03284730000087,None,e,0.9796110999996017,94.22945660000187,None,,,,,,,,,,,,,x,001,2020_Dec_08_1625,lm,2020.2.8,59.96293091568751,
images/-6.png,-6,,,,,0,43,43,34,,,,,,,,,95.24860670000271,None,95.44983180000054,95.74754850000318,95.73520420000204,None,e,0.23696170000039274,95.94782459999988,None,,,,,,,,,,,,,x,001,2020_Dec_08_1625,lm,2020.2.8,59.96293091568751,
images/-1.png,-1,,,,,0,44,44,5,,,,,,,,,96.23271840000234,None,96.4341357000012,96.73169770000095,96.71908250000342,None,o,0.9969870000022638,96.93213560000004,None,,,,,,,,,,,,,x,001,2020_Dec_08_1625,lm,2020.2.8,59.96293091568751,
images/-2.png,-2,,,,,0,45,45,23,,,,,,,,,97.9673040000016,None,98.16915390000213,98.46701800000301,98.45397300000332,None,e,0.5736006000006455,98.6672193000013,None,,,,,,,,,,,,,x,001,2020_Dec_08_1625,lm,2020.2.8,59.96293091568751,
images/9.png,9,,,,,0,46,46,19,,,,,,,,,99.28475210000033,None,99.48715580000135,99.78493650000019,99.7719109000027,None,o,0.34428809999735677,99.96851490000336,None,,,,,,,,,,,,,x,001,2020_Dec_08_1625,lm,2020.2.8,59.96293091568751,
images/3.png,3,,,,,0,47,47,37,,,,,,,,,100.35321180000028,None,100.55524720000176,100.85257940000156,100.83997530000124,None,o,0.5079081000003498,101.05289130000165,None,,,,,,,,,,,,,x,001,2020_Dec_08_1625,lm,2020.2.8,59.96293091568751,
images/4.png,4,,,,,0,48,48,18,,,,,,,,,101.60201980000056,None,101.78958469999998,102.08756760000324,102.08756760000324,None,o,0.2657857000012882,102.28764310000042,None,,,,,,,,,,,,,x,001,2020_Dec_08_1625,lm,2020.2.8,59.96293091568751,
images/0.png,0,,,,,0,49,49,25,,,,,,,,,102.58271580000292,None,102.77375780000148,103.0718968000001,103.0718968000001,None,o,0.6570647999978974,103.27175870000065,None,,,,,,,,,,,,,x,001,2020_Dec_08_1625,lm,2020.2.8,59.96293091568751,
images/2.png,2,,,,,0,50,50,82,,,,,,,,,103.97328670000206,None,104.17553620000035,104.47299190000194,104.4599408000031,None,o,0.983935799999017,104.6732101000016,None,,,,,,,,,,,,,x,001,2020_Dec_08_1625,lm,2020.2.8,59.96293091568751,
images/10.png,10,,,,,0,51,51,46,,,,,,,,,105.69276970000283,None,105.89358240000001,106.19135230000029,106.17874710000251,None,o,0.38520229999994626,106.39158840000164,None,,,,,,,,,,,,,x,001,2020_Dec_08_1625,lm,2020.2.8,59.96293091568751,
images/10.png,10,,,,,0,52,52,12,,,,,,,,,106.80864270000166,None,107.01140310000119,107.30918250000104,107.29614620000211,None,o,0.30809709999812185,107.49269940000158,None,,,,,,,,,,,,,x,001,2020_Dec_08_1625,lm,2020.2.8,59.96293091568751,
images/0.png,0,,,,,0,53,53,41,,,,,,,,,107.84387870000137,None,108.04566410000189,108.3434812000014,108.33044760000121,None,o,1.5937674999986484,108.52704260000246,None,,,,,,,,,,,,,x,001,2020_Dec_08_1625,lm,2020.2.8,59.96293091568751,
images/-6.png,-6,,,,,0,54,54,35,,,,,,,,,110.16383000000133,None,110.36489960000108,110.66252310000345,110.64949669999987,None,e,1.0181516999982705,110.86278960000345,None,,,,,,,,,,,,,x,001,2020_Dec_08_1625,lm,2020.2.8,59.96293091568751,
images/0.png,0,,,,,0,55,55,24,,,,,,,,,111.91396150000219,None,112.11642500000016,112.41424680000273,112.40120340000067,None,o,0.595132400001603,112.59776440000132,None,,,,,,,,,,,,,x,001,2020_Dec_08_1625,lm,2020.2.8,59.96293091568751,
images/6.png,6,,,,,0,56,56,44,,,,,,,,,113.21710260000327,None,113.41793320000215,113.71604630000002,113.71604630000002,None,o,0.2531152000010479,113.91567570000188,None,,,,,,,,,,,,,x,001,2020_Dec_08_1625,lm,2020.2.8,59.96293091568751,
images/-6.png,-6,,,,,0,57,57,39,,,,,,,,,114.21752449999985,None,114.41906230000313,114.71642210000209,114.70325950000188,None,e,0.3880186999995203,114.91675640000176,None,,,,,,,,,,,,,x,001,2020_Dec_08_1625,lm,2020.2.8,59.96293091568751,
images/1.png,1,,,,,0,58,58,3,,,,,,,,,115.35259990000122,None,115.55324939999991,115.851340600002,115.851340600002,None,o,1.0615758999992977,116.05122630000187,None,,,,,,,,,,,,,x,001,2020_Dec_08_1625,lm,2020.2.8,59.96293091568751,
images/4.png,4,,,,,0,59,59,47,,,,,,,,,117.15306150000106,None,117.35506570000143,117.65291910000087,117.63988960000279,None,o,1.4364439999990282,117.83633160000318,None,,,,,,,,,,,,,x,001,2020_Dec_08_1625,lm,2020.2.8,59.96293091568751,
images/3.png,3,,,,,0,60,60,60,,,,,,,,,119.31571729999996,None,119.50724450000052,119.80535430000236,119.80535430000236,None,o,0.307632799998828,120.0051510000012,None,,,,,,,,,,,,,x,001,2020_Dec_08_1625,lm,2020.2.8,59.96293091568751,
